,Title,Site,Description,Address,PhoneNumber,ProfileUrl
60,"Calico Precision Molding, LLC",http://www.calicopm.com,"
 Calico Precision Molding is the only injection molding supplier you will ever need. We specialize in custom and unique product applications, and with our experienced engineering staff and state-of-the-art equipment, we can take your project from design to production. We are your source for top-quality, innovative, custom plastic products, and we offer competitive prices and on-time delivery. So give us a call and visit our website to get started on your next project!","1211 Progress Road,Fort Wayne,IN,46808",260-484-4500,https://www.iqsdirectory.com/profile/calico-precision-molding-76706/
61,"Camcar Plastics, Inc.",https://www.ccplasticparts.com/,"
 Camcar Plastics specializes in plastic injection molding. Our bread and butter is high volume plastic parts production with multi-cavity molds. Our goal is to provide you with superior quality and service at competitive prices, and with design consultation, prototyping, and assembly services, we have everything you need to make your project a success. Contact us today to see all the impressive services we have to offer!","1732 Glade Street,Muskegon,MI,49441",231-726-5000,https://www.iqsdirectory.com/profile/camcar-plastics-76707/
62,Capsonic Group,http://capsonicgroup.com/,"
 Capsonic Group manufactures using insert and composite plastic injection. Using engineered plastic resins, we manufacture connectors, brush holders, sensors and switch bases for appliance, automotive, electronic, medical, office machine and power tool industries.","495 Renner Drive,Elgin,IL,60123",847-888-7531,https://www.iqsdirectory.com/profile/capsonic-group-56401/
63,Carclo Technical Plastics,https://www.carclo-ctp.co.uk/,"
 Carclo Technical Products is a division of Carclo plc that specializes in designing and manufacturing injection molded plastics and contract manufacturing services for medical, optical and electronic applications. We offer our customers high levels of engineering resources and professionalism making us not only a first class supplier but an essential partner ensuring quality, delivery and price.","600 Depot St,Latrobe,PA,15650",724-539-6989,https://www.iqsdirectory.com/profile/carclo-technical-plastics-74535/
64,"Caroba Plastics, Inc.",https://caroba.com/,"
 Here at Caroba Plastics, we manufacture plastic parts for the medical, technology, and industrial and consumer product industries. Our thermoplastic injection molding capabilities and our focus on customer satisfaction allow us to offer a complete manufacturing package. We provide design, manufacturing, and shipping services along with tooling and mold making services. We have everything you need to make your next project a success, so give us a call or visit our website to get started!","3219 S Platte River Dr,Englewood,CO,80110",303-781-6286,https://www.iqsdirectory.com/profile/caroba-plastics-76708/
65,Cavallero Plastics Inc.,https://www.cplas.com/,"
 Cavallero Plastics is a full-service custom injection molder, insert molder and mold manufacturer, specializing in all engineering thermoplastics and commodity resins. To meet your specifications, we can aid with part design, material selection, tool design, automation and more.",",Pittsfield,MA,01201",413-499-9991,https://www.iqsdirectory.com/profile/cavallero-plastics-56506/
66,Central Rubber & Plastics Inc.,http://www.centralrubberinc.com/www/index.php,"
 Central Rubber & Plastics was formed in 1994 and is a manufacturer of molded rubber products, plastic injection molding, rubber to metal bonding, rubber to plastic bonding and a supplier of O-rings, die cuts and lathe cut parts. Our injection Division has fully automated and computerized machinery. ISO 9001:2008 certified, we are committed to the highest quality standards and on-time deliveries.","17416 County Road 34,Goshen,IN,46528",574-534-6411,https://www.iqsdirectory.com/profile/central-rubber-and-plastics-74449/
67,Century Mold Co. Inc.,https://www.centurymold.com/,"
 Century Mold is a leading supplier of injection molded plastic parts for the automotive industry as well as the military, energy, and consumer products industries. We utilize molding presses ranging from 60 to 2200 tons and our mold building capabilities to achieve the industry's fastest cycle times. We have the capacity to manufacture almost any part you could ever need, so contact us today to discover how we can provide your plastic solutions!","25 Vantage Point Drive,Rochester,NY,14624",248-596-1817,https://www.iqsdirectory.com/profile/century-mold-76711/
68,"Chemtech Plastics, Inc.",http://www.chemtechplastics.com/index.html,"
 At Chemtech Plastics, your success is our mission. We are devoted to getting customers exactly what they need, and we are willing to reinvest in technology to make sure we have what it takes to get your job done and get it done in an efficient and affordable manner. We specialize in two-shot molding, and we welcome your complex and challenging component needs. Contact us today to see how we can get you an exceptional solution for your applications!","765 Church Road,Elgin,IL,60123",847-742-6800,https://www.iqsdirectory.com/profile/chemtech-plastics-76712/
69,Chenango Valley Technologies Inc.,http://www.chenangovalleytech.com/,"
 Chenango Valley Technologies is a custom injection molding company, but we do much more than just molding. We provide part design and development services, mold design and construction services, assembly and secondary operations, and horizontal and vertical molding. Since our establishment in 1972 we have been dedicated to customer service, so we work continuously to be your single source for plastic molded components. Give us a call or visit our website to get started on your plastic solutions!","328 Route 12B,Sherburne,NY,13460",607-674-4115,https://www.iqsdirectory.com/profile/chenango-valley-technologies-76713/
70,"Chief Manufacturing, Inc.",https://www.chiefmanufacturing.net/,"
 Chief Manufacturing’s diversity of capabilities has rapidly grown to include the capacity to produce wire bent and flat steel components, robotic welded components, plastic injected parts, blow molded plastics, and powder coated finished components to a wide array of markets. What has remained the same is the family ownership and the drive to continue Chief’s legacy into the next generations.","301 McIntosh Pkwy,Thomaston,GA,30286",706-647-1162,https://www.iqsdirectory.com/profile/chief-manufacturing-73173/
71,CIMA Plastics Group,http://www.cimaplastics.com/,"
 At CIMA Plastics Group, we continue to update our injection molding facilities and equipment to incorporate the latest technologies. Our state-of-the-art design equipment and software allows us to efficiently design and prototype your products. We bring your ideas to production quickly, and our CNC injection molding machines allow us to efficiently produce all your plastic components. We even offer mold design and construction and secondary operations to ensure you get exactly what you need!","2146 Enterprise Parkway,Twinsburg,OH,44087",330-963-0322,https://www.iqsdirectory.com/profile/cima-plastics-group-76714/
72,"Clama Products, Inc.",http://www.clamaproducts.com/,"
 Clama Products is a leading manufacturer of precision thermoplastic injection molded products and molds. We are a full-service shop with capabilities from prototype to production. We serve many industries, including sporting goods, medical, automotive and more.","1993 S. Ritchey St.,Santa Ana,CA,92705",714-258-8606,https://www.iqsdirectory.com/profile/clama-products-56720/
73,CMF Industries,http://www.cmfind.com,"
 CMF Industries produces castings, forgings, stamped parts, fine blanked parts, deep drawn parts, injection molded plastics, extrusions and fabrications. We filled a gap left by other companies and offer a wide range of castings such as ferrous and nonferrous, sand, modified investment and permanent mold. Finishing processes such as grinding, polishing, assembly and packaging are also available.","7659 S 180th,Kent,WA,98032",425-282-5065,https://www.iqsdirectory.com/profile/cmf-73440/
74,CMP Custom Molding Inc.,http://cmpcustommolding.com/,"
 We manufacture custom injection molded plastics, plastic parts and insert molded plastics. CMP does small runs and is willing to work with customers who have new ideas, and we guarantee quality parts to your specifications and on time delivery.","1115 North Industrial Road,Mora,MN,55051",320-679-5200,https://www.iqsdirectory.com/profile/cmp-custom-molding-56817/
75,Comar LLC,https://www.comar.com/,"
 Comar is a plastic injection molding and blow molding company that specializes in manufacturing medical dispensing and storage devices. Some of our products include oral dispensers, plastic droppers, controlled drop dispensers, plastic bottles, and plastic closures. We also offer custom design services for your unique and special applications, so give us a call or visit our website today!","One Comar Place,Buena,NJ,08310",800-962-6627,https://www.iqsdirectory.com/profile/comar-76716/
76,Commercial Plastics Company,http://ecommercialplastics.com/,"
 Founded over 50 years ago Commercial Plastics has always been an industry leader in plastic design and processing. Today the company boasts one of the world's finest plastic injection molding and extrusion manufacturing facilities. From a specialized ""quick change"" tool to ""high tech"" six & seven axis robots that are capable of making fully automated plastic injection molded assemblies.","800 E Allanson Road,Mundelein,IL,60060",847-566-1700,https://www.iqsdirectory.com/profile/commercial-plastics-74153/
77,"Competitive Engineering, Inc.",http://www.ceiglobal.com/,"
 Competitive Engineering is a world leader in the manufacturing industry , and we have a huge selection of services to meet the diverse needs of many industries. We offer engineering, design, precision machining, plastic injection molding, 3D printing, and assembly services. Contact us to discover how we can assist you with your next manufacturing project.","3371 E. Hemisphere Loop,Tucson,AZ,85706",520-746-0270,https://www.iqsdirectory.com/profile/competitive-engineering-76717/
78,Con-Tech Plastics,http://contechplastics.com/,"
 At Con-Tech Plastics, we partner with our customers to provide the very best products and services at economical prices. We are a leading contract manufacturing company, and we offer a diverse range of services including precision custom plastic injection molding, medical clean-room molding, design and engineering services, mold manufacturing, assembly, testing, and packaging. Whatever your plastic needs may be, we have the solutions for you!","3200 E Birch Street,Brea,CA,92821",714-996-7477,https://www.iqsdirectory.com/profile/con-tech-plastics-76718/
79,"Concept Sales, Inc.",https://www.conceptsalesinc.com/,"
 Founded in 1998, Concept Sales specializes in the fields of blow molding, injection molding, fiberglass, rotational molding, and thermoforming. Our team of staff members are not only well-versed in multiple molding disciplines, they are willing to help our customers find exactly what they're looking for. Get in touch with us today!","508 Patrick Ave.,Hartford,SD,57033",605-528-2700,https://www.iqsdirectory.com/profile/concept-sales-77910/
80,"Control Plastics, Inc.",https://controlplastics.com/injection_molding/index.php,"
 With over 30 years of quality manufacturing experience, Control Plastics, Inc. aims to provide their customers with design coordination, leading edge competitive solutions, quality products, and great service. Services include labeling, injection molding, extrusions, structural foam, wire forming, and much more.  We serve various industries including automotive, electronics, consumer goods, medical, military, and sporting goods. Visit our website or call us today for more information!","1100 Industrial Road, Unit 11B,San Carlos,CA,94070",800-600-2010,https://www.iqsdirectory.com/profile/control-plastics-76598/
81,CPP Global,https://cppglobal.com/,"
 CPP Global is a customer focused manufacturer ready to serve customers all over the world. Our experienced manufacturing team utilizes the very best injection molding technology and techniques to produce quality and cost-effective plastic solutions. We even offer design and engineering services to help you get the best product for your applications. Give us a call or visit our website for to discover our complete selection of plastic molding services!","405 Commerce Place,Asheboro,NC,27203",336-498-2654,https://www.iqsdirectory.com/profile/cpp-global-76709/
82,Craftech Corporation,http://www.craftechcorp.com/,"
 As an ISO 9001, ISO 13485, and TS 16949 certified company, we are dedicated to quality. We manufacture plastic parts and components for the medical, electronic, and automotive industries utilizing 50 plastic injection molding machines. With our dedicated engineering staff, we can take your project from concept to production, and we offer many extra services like UV Bonding, sonic welding, assembly, and more. Visit our website or give us a call for more information on our impressive services!","2941 E La Jolla Street,Anaheim,CA,92806",714-630-8117,https://www.iqsdirectory.com/profile/craftech-76720/
83,"Craftech® Industries, Inc.",https://www.craftechind.com/,"
 We produce injection molded plastics using more than 100 different engineering thermoplastics. Some of our other services include mold making, screw machining and CNC machining. With over 30 years of experience, Craftech® Industries offers a wide range of high-quality products and services.","PO BOX 636,Hudson,NY,12534",800-833-5130,https://www.iqsdirectory.com/profile/craftech-57190/
84,Currier Plastics Inc.,https://currierplastics.com/,"
 At the forefront of custom injection molding since 1982. We create injection molded high performance composite plastic parts that reduce cost, weight & finishing while maintaining strength & functionality. Plus, we can insert plastic molding around metal. A full range of specialty thermoplastics offered.","101 Columbus Street,Auburn,NY,13021",315-255-1779,https://www.iqsdirectory.com/profile/currier-plastics-71382/
85,"Custom Molded Products, LLC",https://www.c-m-p.com/,"
 Custom Molded Products manufactures high-quality injection molded parts using filled and unfilled plastics, ABS, acetal, acrylics, PBT, PET, PVC, polycarbonate, polyethylene, polypropylene and polystyrene. We also provide fast tooling and urgent part production. Contact us for more information.","120 Celtic Blvd,Tyrone,GA,30290",800-733-9060,https://www.iqsdirectory.com/profile/custom-molded-products-57325/
86,Custom Plastics International Ltd.,https://www.customplastics.ca/,"
 In 1965, Custom Plastics International was started as a family-run plastic injection molding business. We offer a variety of products including highly engineered products using resins such as Ultem, Ryton, Valox and Santoprene, among others. For over 45 years we have been designing and fabricating injection molding products. Metal to plastics redesign benefits from our company include price reduction, part consolidation, weight reduction and ease of assembly. Custom Plastics International is confident that we have the ability to meet your needs.","887 D'Arcy Street,CoBourg,ON,K9A 4B4",905-372-2281,https://www.iqsdirectory.com/profile/custom-plastics-ltd-76196/
87,D&L Tooling & Plastics Inc.,https://www.dlplastics.com/,"
 D&L Tooling & Plastics is an experienced and reliable manufacturer of custom-molded plastic products. We utilize 16 injection molding machines ranging from 95 to 1000 tons to manufacture plastics for many industries like the telecommunications, medical, and recreational industries. Our tool shop also allows us to make and repair any mold, and we offer many secondary services like hot stamping, product testing, and assembly. Check out our website or give us a call for more information!","950 SE Loop 456,Jacksonville,TX,75766",800-227-4829,https://www.iqsdirectory.com/profile/d-and-l-tooling-and-plastics-76723/
88,"D&M Plastics, LLC",http://www.dmplastics.com/,"
 For over 40 years, we have been an industry leader in injection molding, and our ISO 9001 and ISO 13485 certifications demonstrate our commitment to quality products and service. We utilize more than 30 state-of-the-art molding machines, and we have a fully staffed tool shop to create quality molds to your exact specifications. Our services are competitively priced so you get the best quality for your money! Contact us today to see how we can assist you with your plastic manufacturing needs.","150 French Road,Burlington,IL,60109",847-683-2054,https://www.iqsdirectory.com/profile/d-and-m-plastics-76724/
89,"Da/Pro Rubber, Inc.",https://www.daprorubber.com/,"
 Da/Pro Rubber has been committed to serving OEM market for over fifty years. With locations in California, Oklahoma, Massachusetts and even Singapore you can count on us to provide you with full services wherever you may need it! Da/Pro Rubber is proud to offer a wide variety of rubber to metal bonding as well as many other types of rubber compounds and products. With our diverse array of products we serve industries such as medical, electronics, industrial, aerospace as well as many others. It has been our goal since we were first established in 1961 that we are able to maintain our spot as a world-class leader in the rubber industry.With over five decades of quality commitment and care to our customers Da/Pro Rubber emphasizes the need to communicate with our customers and other employees effectively in order to ensure that our clientele will receive the exact products to meet their needs and exceed their expectations. Da/Pro only employs skilled technicians who meet certain criteria within the customer service as well as engineering fields. By doing this we guarantee that each customer will receive the caliber of treatment that they deserve. Along with well-trained technicians we also offer a full service quality control team, and onsite LIM engineers.Using competitive pricing, and excellent quality products and unmatched customer service Da/Pro Rubber is committed to staying on the forefront of technology and acts as a titan in our industry. Our exceptional staff is devoted to working with each customer until a solution is found to their rubber to metal bonding or other rubber involved problems. With the ability to also provide custom solutions all of these qualities make Da/Pro Rubber a class act. For more information on how to get in touch with us, visit us on our website today!","P.O. Box 470175,Broken Arrow,OK,74147-0175",918-258-9386,https://www.iqsdirectory.com/profile/da-pro-rubber-57394/
90,Dana Molded Products Inc.,http://www.danamolded.com/,"
 Dana Molded Products manufactures top quality plastic injection molded parts and components. It is our goal to make your products a success, so we really invest in our customers' ideas. We offer our extensive engineering services to help our customers bring their ideas to production, and we utilize our fully equipped tool room to manufacture exceptional molds. With 32 injection molding machines, we can quickly and efficiently provide you with your custom and special plastic solutions!","810 Commerce Parkway,Carpentersville,IL,60110",847-783-1800,https://www.iqsdirectory.com/profile/dana-molded-products-76725/
91,Daystar™,https://www.daystarweb.com/,"
 Daystar™ produces millions of plastic injection molded parts every year on micro processor controlled Van Dorn molding machines. We are extremely experienced in running elastomeric compounds such as flexible PVC's, thermoplastic polyurethanes, and TPR's. We are a recognized specialist in manufacturing cast polyurethane elastomeric and microcellular foam parts for the automotive industry.","841 S 71st Ave.,Phoenix,AZ,85043",800-595-7659,https://www.iqsdirectory.com/profile/daystar-73565/
92,"Decatur Plastic Products, Inc.",http://www.decaturplastics.com/index.html,"
 Decatur is your full service partner for high quality custom injection molded plastic parts and components, flocking, and more along with expert engineering assistance. Small precision components or large, a range of press sizes and resin capacities are available to meet any challenge. Innovative and experienced DPP professionals will find solutions that make true financial and operational sense.","3250 N State Highway 7,North Vernon,IN,47265",812-346-5159,https://www.iqsdirectory.com/profile/decatur-plastic-products-74587/
93,"Deimling/jeliho Plastics, Inc.",https://deimling-jeliho.com/,"
 DEIMLING/jeliho Plastics specializes in precision injection molding, injection molds, prototyping and assembly. Our 30 presses allow us to serve different sizes and types of jobs. We are ISO 9001 registered.","4010 Back-Buxton Road,Amelia,OH,45102",513-752-6653,https://www.iqsdirectory.com/profile/deimling-jeliho-plastics-57538/
94,DeKALB Molded Plastics,https://www.dekalbplastics.com/,"
 DeKALB Molded Plastics is a custom structural foam molder specializing in large, multi-nozzle plastic products. With over 30 years in the industry, our value proposition extends beyond being price competitive, we also offer superior service, cradle to grave tool and  product design support, warehousing capabilities, and on-time deliveries – all which factor into the overall price of your product.","550 West Main Street,Butler,IN,46721",260-868-2105,https://www.iqsdirectory.com/profile/dekalb-molded-plastics-74186/
95,"Deluxe Plastics, Inc.",http://www.deluxeplastics.com/,"
 As an ISO 9001:2008 custom injection molder, we pride ourselves on our quality products and processes. We have an experienced and knowledgeable team of engineers that will help you design the perfect solution for your applications. Our 16 injection molding machines and our full selection of secondary operations allow us to assist you every step of the way. Contact us today to see a complete description of our services!","220 Industrial Ave,Clintonville,WI,54929",877-479-4131,https://www.iqsdirectory.com/profile/deluxe-plastics-76726/
96,Den Hartog Industries,https://www.denhartogindustries.com/,"
 Den Hartog Industries, Inc. currently operates 4 divisions: Ace Roto-Mold Rotational Molding, Injection Molding, Blow Molding, and Metal Fabrication. Manufacturing services offered include custom rotational molding, injection molding, metal fabrication, blow molding, custom assembly and secondary operations, custom packaging services, flotation and structural foam filling.","4010 Hospers Drive,Hospers,IA,51238",712-752-8432,https://www.iqsdirectory.com/profile/den-hartog-74412/
97,Denver Plastics Nebraska,http://www.dpnebraska.com/,"
 Denver Plastics is your source for custom plastic solutions! With half of a century in the business, we have the experience and expertise to provide quality products for your most complex plastic requirements. We utilize the injection molding process to produce a huge variety of plastic products, and we have molding machines ranging from 77 to 2200 tons. We have also been ISO 9002 certified since 1998, so we will consistently provide you with quality plastic solutions!","2355 Aspen Street,Wahoo,NE,68066",402-443-3899,https://www.iqsdirectory.com/profile/denver-plastics-nebraska-76728/
98,Design Plastics Inc.,https://designplastics.com/,"
 Design Plastics is an ISO 9001 registered plastic injection molder. It is our mission to provide you with quality plastic solutions for your specific applications. We specialize in designing and manufacturing custom plastic parts. Utilizing 150 to 750 ton molding machines we can fabricate almost any part you could ever need, and we can serve customers all over the world. So whatever your requirements, contact us, and we’ll get you the plastic solutions you need!","3550 Keystone Dr,Omaha,NE,68134",402-572-7177,https://www.iqsdirectory.com/profile/design-plastics-76729/
99,Design-Tek Tool & Plastic Inc.,https://designtekplastics.com/,"
 Rely on the experts at Design-Tek Plastics to tackle your routine or customs plastic injection molding, blow molding, insert molding plastic project with creativity and attention to detail. We use a team of designers, fabricators, machine operators, and other professionals to create your plastic product. With all of our resources at your service, you will come back - we guarantee it!","786 W. 2nd Street, Unit #6,Ogden,UT,84404",800-662-1841,https://www.iqsdirectory.com/profile/design-tek-tool-and-plastic-74182/
100,"Dickten Masch Plastics, LLC",https://dicktenplastics.com/,"
 Originally a tooling shop, Dickten Masch Plastics began molding custom thermoset components in the 1950s. We expanded into thermoplastic molding in the following decade. Today, through full-service facilities in Wisconsin and Iowa, we combine our decades of experience with wide-ranging technical expertise and proven skills to help customers make the best, most cost-effective products possible.","N44 W33341 Watertown Plank Road,Nashotah,WI,53058",262-369-5555,https://www.iqsdirectory.com/profile/dickten-masch-plastics-74169/
101,DimcoGray Corporation,http://dimcogray.com/,"
 Since 1924, we have specialized in plastic molding, and we are globally recognized as a leading supplier of high quality knobs and handles. However, our compression and injection molding capabilities allow us to provide customers with custom molded plastic parts as well. We are an ISO 9001:2008 certified company, so you know that we are committed to quality. Give us a call or visit our website to discover how we can serve you!","900 Dimco Way,Centerville,OH,45458",937-433-7600,https://www.iqsdirectory.com/profile/dimcogray-57715/
102,Dimension Molding Corp.,http://www.dimensionmold.com/,"
 Dimension Molding is an ISO 9001:2008 certified custom plastic injection molding company. With 20 injection molding machines we can efficiently produce your plastic parts, and we also offer exceptional design and tooling services. With our adjacent mold manufacturing facility, we can reduce lead times and significantly hasten the whole production process! Give us a call or visit our website to get working with us on your plastic solutions!","777 Annoreno Dr,Addison,IL,60101",630-628-0777,https://www.iqsdirectory.com/profile/dimension-molding-76731/
103,"Dinesol Plastics, Inc.",http://www.dinesol.com,"
 Provider of injection molded plastics. Dinesol also offers engineering and product design. We currently have 32 injection molding machines and are experienced in molding ABS, nylon, polyetherimide, PVC and more. We are an  ISO 9002/UL recognized facility.","195 East Park Ave.,Niles,OH,44446",330-544-7171,https://www.iqsdirectory.com/profile/dinesol-plastics-57717/
104,Distinctive Plastics Inc.,https://www.dpi-tech.com//Default.asp,"
 At Distinctive Plastics, we specialize in technical injection molding services. We provide multi-shot molding, in-mold decorating, in-mold assembly, vertical insert molding, medical device molding, and more. We are dedicated to your company's success, so we are ready to assist you every step of the way, from design to production. With consultation, and product and mold design, we can get you the perfect plastic solution for your applications. We guarantee on-time and quality products!","1385 Decision St,Vista,CA,92081",760-599-9100,https://www.iqsdirectory.com/profile/distinctive-plastics-76732/
105,"DKM Manufacturing, Inc.",http://www.dkmmfg.com/index.html,"
 DKM Manufacturing, Inc. is a custom injection molder. Services include insert and injection molding in a wide range of sizes, short and long run capabilities, close tolerance molding, and low cost tooling. DKM is committed to quality & accuracy, and promises on time delivery.","1243 170th Street,Victor,IA,52347",888-749-6139,https://www.iqsdirectory.com/profile/dkm-manufacturing-57769/
106,Donnelly Custom Manufacturing Co.,http://www.donnmfg.com/,"
 Donnelly is an ISO 9001:2008 and ISO 13485 certified custom manufacturer specializing in providing manufacturing & engineering services to support short-run, close-tolerance products for industrial OEM’s. With a wide array of: molding capabilities, engineering & tooling and secondary operations, we have what it takes to provide parts you need quickly and reliably, and we have the expertise to assist you in your success. Contact us today – Donnelly – How Short Run is Done™.","105 Donovan Drive,Alexandria,MN,56308",651-698-8248,https://www.iqsdirectory.com/profile/donnelly-custom-manufacturing-76733/
107,"Drug Plastics & Glass Co, Inc.",http://www.drugplastics.com/,"
 Drug Plastics manufactures plastic packaging products for the healthcare industry. Bottles and special closure systems are our specialty, and we utilize a multitude of molding processes to meet all your packaging needs. We can provide injection molding, blow molding, co-extrusion, and closure lining services, and our mold making journeymen can fabricate molds for your special needs. Give us a call or visit our website to discover our complete selection of services!","1 Bottle Drive,Boyertown,PA,19512",610-367-5000,https://www.iqsdirectory.com/profile/drug-plastics-and-glass-76734/
108,"Drummond Industries, Inc.",https://www.drummondindustries.com/,"
 For over 40 years Drummond has been injection molding for the medical, dental, packaging, POP displays, and other commercial industries. Our hands-on approach will assist you from the concept stage all the way to your finished product.  We service our customers with quick turnarounds and the highest quality molded parts at competitive prices.","2616 N Cicero Ave.,Chicago                                                                                                                                                                                                 ,IL,60639",866-725-9547,https://www.iqsdirectory.com/profile/drummond-71696/
109,"E & O Tool & Plastics, Inc.",https://www.eoplastics.com/,"
 E & O Tool & Plastics is a contract manufacturing company specializing in injection molding and tooling. Our two facilities utilize a total of 55 injection molding presses ranging from 38 to 1,100 tons, so we can manufacture a huge variety of products. Our full service tooling shop also allows us to provide mold design, construction, and maintenance. We have the capabilities and the expertise to manufacture solutions to your most challenging applications!","19178 Industrial Blvd.,Elk River,MN,55330",763-441-6100,https://www.iqsdirectory.com/profile/e-and-o-tool-and-plastics-76737/
110,"E-S Plastic Products, LLC",https://www.esplastics.com/,"
 At E-S Plastic Products, we provide industry leading plastic products and service. We manufacture injection molded products, and we utilize 42 injection molding presses to produce a variety of part sizes. Our experienced engineers and mold makers can assist you in the design of your product and can construct molds for your exact requirements. With the addition of many secondary operations and two plant locations, we can provide you with high quality products and meet your long and short run needs!","809 Mohr Avenue,Waterford,WI,53185",262-534-5555,https://www.iqsdirectory.com/profile/e-s-plastic-products-76736/
111,"Eagle Mold Technologies, Inc.",http://eaglemold.com/index.php,"
 Eagle Mold Technologies specializes in plastic injection mold making for the medical device and electronics industries.  We offer insert molds, hot runner, production multi-cavity and quick turnaround aluminum molds.","7716 Arjons Drive,San Diego,CA,92126",858-530-0888,https://www.iqsdirectory.com/profile/eagle-mold-technologies-58012/
112,Eclipse Manufacturing Company,https://www.eclipseplasticmolding.com/,"
 Eclipse Manufacturing Company provides custom injection molding of thermoplastics. Capabilities include horizontal, insert molding, and assembly. Eclipse's commitment to quality, customer satisfaction, and timely delivery helps form solid business relationships with customers.","1115 Oakwood Rd,Lake Zurich,IL,60047",800-838-2139,https://www.iqsdirectory.com/profile/eclipse-manufacturing-58073/
113,"Eclipse Mold, Inc.",http://www.eclipsemold.com/,"
 For over 35 years, Eclipse Mold has been providing superior plastic injection molds and injection molding services. We help our customers design affordable products with exceptional quality. Our mold-making capabilities allow us to meet even your most challenging and complex plastic requirements, and we offer many different injection molding processes to ensure that your every specification is satisfied. Contact us today to get started on your next project!","23155 15 Mile Road,Clinton Township,MI,48035",586-792-3320,https://www.iqsdirectory.com/profile/eclipse-mold-76741/
114,"Edco Industries, Inc.",http://www.edcoindustries.com/,"
 Edco Industries supplies the electronics, medical, defense, hardware, cosmetics, and consumer products industries with quality plastic and foam products. We have specialized in plastic injection molding and structural foam fabricating since 1978. We are dedicated to customer service, so we offer full design, mold-making, and molding services. Our capabilities allow us to manufacture even your most complex products, so please give us a call or visit our website to see how we can serve you!","203-249 Dekalb Ave,Bridgeport,CT,06607",203-333-8982,https://www.iqsdirectory.com/profile/edco-76742/
115,"Eldora Plastics, Inc.",http://www.eldoraplastics.com/,"
 Eldora Plastics is a custom injection molding company. We have been providing custom plastic manufacturing solutions since 1984, and we have been ISO registered since 1999. We have experience working with customers to design unique and special parts, and with our eight different injection molding presses and numerous secondary operations, we have what it takes to take your product from start to finish. Contact us to discover all we have to offer!","1814 21st Street,Eldora,IA,50627",641-858-2634,https://www.iqsdirectory.com/profile/eldora-plastics-76743/
116,"Elite Plastic Products, Inc.",https://www.teameliteonline.com/,"
 Elite Plastic Products, Inc. provides plastic injection molding and tooling services from prototype all the way to high-volume production. Elite specializes in short-term and long-term transfer projects. We resolve problematic molding defects and also build quality tools utilizing the global market. Our injection molded parts are high quality and cost-effective. Our parts are used in the automotive, power sports, consumer, and electronic industries. We are ISO 9001: 2008 certified and also a Minority Owned and certified business. Browse around our website for more information, or contact us if you have any questions.","51354 Filomena,Shelby Township,MI,48315",586-247-5800,https://www.iqsdirectory.com/profile/elite-plastic-products-75639/
117,Empire Precision Plastics,https://www.empireprecision.com/,"
 Empire Precision Plastics is your source for precision molding. We have the capabilities to assist you in every aspect of your project from product development and design, to tool building and high-volume manufacturing. Empire is ISO 9001 and ISO 13485 certified with more than 40 injection molding machines.  We also have clean room and white room options available for medical parts. Give us a call or visit our website to see how we can help your next project take shape.","500 Lee Rd, Ste 400,Rochester,NY,14606",800-541-7135,https://www.iqsdirectory.com/profile/empire-precision-plastics-76747/
118,"Endura Plastics, Inc.",http://endura.com,"
 At Endura Plastics, we work with our customers to provide innovative plastic solutions. High volume, precision plastic manufacturing is our specialty, and we utilize 21 molding machines and offer injection molding, insert molding, two-shot molding, and multi-shot molding services. Need help getting your idea to production? We can help you design your project and turn your idea into a reality! Call us today to get started!","7955 Chardon Rd,Kirtland,OH,44094",800-376-4466,https://www.iqsdirectory.com/profile/endura-plastics-68648/
119,Engineered Plastics Company,https://www.macleanfoggcs.com/locations/epc/,"
 The Engineered Plastics team is enthusiastic about making better molded plastic parts. We specialize in custom injection molded thermoplastic parts using complex tooling & resins. With our extensive experience we map out quality solutions, so let us quote you! Trust this highly certified plastic molder!","W142 N9078 Fountain Blvd,Menomonee Falls,WI,53051",262-251-9500,https://www.iqsdirectory.com/profile/engineered-plastics-71670/
120,"Engineered Plastics, Inc.",http://engineeredplastics.com/,"
 Engineered Plastics, Inc. is a custom plastic injection molding company headquartered in Lake City, Pennsylvania. Founded in 1978, we have grown to offer turnkey product design, manufacturing and distribution. We have extensive experience with medical and electrical OEM's, as well as sporting goods and various consumer products. We look forward to hearing from you!","1040 Maple Avenue,Lake City,PA,16423",814-774-2970,https://www.iqsdirectory.com/profile/engineered-plastics-73153/
121,"Engineering Industries, Inc.",http://www.engineeringindustries.com/,"
 Engineering Industries is your full service custom injection molder. We have served the agricultural, electronics, medical, and many other industries for over 45 years, so we have what it takes to turn your ideas into high quality plastic parts. With a skilled and experienced engineering staff, we will help you through every step of your product's development, from design to product testing. Give us a call or visit our website to discover how we can serve you!","407 S Nine Mound Road,Verona,WI,53593",608-845-6569,https://www.iqsdirectory.com/profile/engineering-76760/
122,Enplas (USA) Inc.,http://www.enplas.co.jp/english/,"
 Enplas (USA), a division of Enplas Corporation, is a leading plastics engineering company with over 30 years in the injection molding industry. We seek to meet all our customers' specifications by combining experienced personnel with state-of-the-art technology and quality systems. With our 300 years of combined engineering experience and 50 injection molding presses, our customers insist on our exceptional design and manufacturing services!","1901 W. Oak Circle,Marietta,GA,30062",770-795-1100,https://www.iqsdirectory.com/profile/enplas-usa-76761/
